x,y_obs,y_calc,y_bkg,struct_Li3PO4,struct_LiFePO4
68.95,0.02,0.02,-0.0,0.0,0.03
69.0,0.02,0.02,-0.0,0.0,0.02
69.05,0.02,0.02,-0.0,0.0,0.02
69.1,0.01,0.02,-0.0,0.0,0.02
69.15,0.01,0.01,-0.0,0.0,0.02
69.2,0.01,0.01,-0.0,0.0,0.01
69.25,0.01,0.01,-0.0,0.0,0.01
69.3,0.01,0.01,-0.0,0.0,0.01
69.35,0.01,0.01,-0.0,0.0,0.01
69.4,0.01,0.01,-0.0,0.0,0.01
69.45,0.01,0.01,-0.0,0.0,0.01
69.5,0.01,0.01,-0.0,0.0,0.01
69.55,0.0,0.01,-0.0,0.0,0.01
69.6,0.0,0.01,-0.0,0.0,0.01
69.65,0.01,0.01,-0.0,0.0,0.01
69.7,0.01,0.01,-0.0,0.0,0.01
69.75,0.01,0.01,-0.0,0.0,0.01
69.8,0.01,0.01,-0.0,0.0,0.01
69.85,0.01,0.01,-0.0,0.0,0.01
69.9,0.01,0.01,-0.0,0.0,0.02
69.95,0.02,0.02,-0.0,0.0,0.02
70.0,0.02,0.02,-0.0,0.0,0.02
70.05,0.03,0.03,-0.0,0.0,0.03
70.1,0.04,0.03,-0.0,0.0,0.03
70.15,0.04,0.03,-0.0,0.0,0.03
70.2,0.04,0.03,-0.0,0.0,0.04
70.25,0.04,0.04,-0.0,0.0,0.04
70.3,0.04,0.04,-0.0,0.0,0.04
70.35,0.03,0.04,-0.0,0.0,0.04
70.4,0.03,0.04,-0.0,0.0,0.04
70.45,0.03,0.04,-0.0,0.0,0.05
70.5,0.03,0.05,-0.0,0.0,0.05
70.55,0.03,0.06,-0.0,0.0,0.06
70.6,0.04,0.07,-0.0,0.0,0.07
70.65,0.06,0.08,-0.0,0.0,0.08
70.7,0.08,0.09,-0.0,0.0,0.09
70.75,0.1,0.1,-0.0,0.0,0.1
70.8,0.12,0.11,-0.0,0.0,0.11
70.85,0.13,0.11,-0.0,0.0,0.11
70.9,0.13,0.11,-0.0,0.0,0.11
70.95,0.13,0.1,-0.0,0.0,0.11
71.0,0.11,0.1,-0.0,0.0,0.1
71.05,0.09,0.09,-0.0,0.0,0.09
71.1,0.07,0.07,-0.0,0.0,0.08
71.15,0.05,0.06,-0.0,0.0,0.07
71.2,0.04,0.05,-0.0,0.0,0.05
71.25,0.03,0.04,-0.0,0.0,0.05
71.3,0.02,0.04,-0.0,0.0,0.04
71.35,0.01,0.03,-0.0,0.0,0.03
71.4,0.01,0.02,-0.0,0.0,0.03
71.45,0.01,0.02,-0.0,0.0,0.02
71.5,0.01,0.02,-0.0,0.0,0.02
71.55,0.01,0.02,-0.0,0.0,0.02
71.6,0.01,0.02,-0.0,0.0,0.02
71.65,0.01,0.02,-0.0,0.0,0.02
71.7,0.02,0.02,-0.0,0.0,0.02
71.75,0.02,0.03,-0.0,0.0,0.03
71.8,0.03,0.03,-0.0,0.0,0.03
71.85,0.04,0.03,-0.0,0.0,0.03
71.9,0.04,0.03,-0.0,0.0,0.03
71.95,0.05,0.03,-0.0,0.0,0.04
72.0,0.04,0.03,-0.0,0.0,0.03
72.05,0.04,0.03,-0.0,0.0,0.03
72.1,0.04,0.03,-0.0,0.0,0.03
72.15,0.03,0.03,-0.0,0.0,0.03
72.2,0.02,0.03,-0.0,0.0,0.03
72.25,0.02,0.03,-0.0,0.0,0.03
72.3,0.02,0.03,-0.0,0.0,0.03
72.35,0.02,0.03,-0.0,0.0,0.03
72.4,0.02,0.03,-0.0,0.0,0.03
72.45,0.03,0.03,-0.0,0.0,0.04
72.5,0.03,0.04,-0.0,0.0,0.04
72.55,0.04,0.04,-0.0,0.0,0.04
72.6,0.04,0.05,-0.0,0.0,0.05
72.65,0.04,0.05,-0.0,0.0,0.05
72.7,0.05,0.06,-0.0,0.0,0.06
72.75,0.06,0.06,-0.0,0.0,0.07
72.8,0.07,0.07,-0.0,0.0,0.08
72.85,0.08,0.08,-0.0,0.0,0.08
72.9,0.1,0.09,-0.0,0.0,0.09
72.95,0.12,0.1,-0.0,0.0,0.1
73.0,0.13,0.1,-0.0,0.0,0.1
73.05,0.14,0.1,-0.0,0.0,0.1
73.1,0.13,0.1,-0.0,0.0,0.1
73.15,0.12,0.09,-0.0,0.0,0.09
73.2,0.1,0.08,-0.0,0.0,0.09
73.25,0.08,0.08,-0.0,0.0,0.08
73.3,0.06,0.06,-0.0,0.0,0.07
73.35,0.04,0.05,-0.0,0.0,0.06
73.4,0.03,0.05,-0.0,0.0,0.05
73.45,0.02,0.04,-0.0,0.0,0.04
73.5,0.02,0.03,-0.0,0.0,0.03
73.55,0.01,0.02,-0.0,0.0,0.03
73.6,0.01,0.02,-0.0,0.0,0.02
73.65,0.01,0.02,-0.0,0.0,0.02
73.7,0.01,0.02,-0.0,0.0,0.02
73.75,0.01,0.01,-0.0,0.0,0.02
73.8,0.01,0.01,-0.0,0.0,0.02
73.85,0.01,0.01,-0.0,0.0,0.02
73.9,0.01,0.01,-0.0,0.0,0.02
73.95,0.01,0.02,-0.0,0.0,0.02
74.0,0.02,0.02,-0.0,0.0,0.02
74.05,0.02,0.02,-0.0,0.0,0.02
